title,movieId,rating
Anchorman: The Legend of Ron Burgundy,8641,4
Thor,86332,
Pocahontas,48,
Lincoln,98154,
School of Rock,6863,
The Hunger Games: Mockingjay - Part 1,116823,
The Mist,56145,
Romeo + Juliet,1059,
Looper,96610,
Orphan,70159,
The Princess and the Frog,72737,4.5
Transformers,53996,5
Enemy of the State,2353,
The Hunger Games: Mockingjay - Part 2,135133,
The Holiday,49286,
Atlantis: The Lost Empire,4366,
Cars,45517,5
Seven Psychopaths,97306,
Up in the Air,72011,4.5
Valkyrie,64983,
The Fast and the Furious,4369,4
Madagascar,33615,4.5
Red Dragon,5630,
Cloud Atlas,97752,
Phone Booth,6281,
Step Up,47382,
The Gift,140247,
RED,81229,
Real Steel,90249,5
Vicky Cristina Barcelona,60950,
Star Trek Beyond,135569,
Underworld,6754,
The Mask,367,5
Legend,141688,
Super 8,87306,
King Kong,41569,5
Ender's Game,106002,
The Descendants,91077,
Jerry Maguire,1393,
The Book of Eli,73321,
Spaceballs,3033,
50 First Dates,7293,
Rango,84944,
The Purge: Anarchy,112818,
Dredd,96737,
Chronicle,92420,
The Italian Job,6378,
Die Hard 2,1370,
Pearl Harbor,4310,
The Good Dinosaur,136016,
Meet the Parents,3948,
The Transporter,5574,
Batman Returns,1377,
2 Guns,103883,
Hook,3489,
Enchanted,56152,
The Hitchhiker's Guide to the Galaxy,33004,
Dear John,74688,
9,71057,
The Call,101360,
Love & Other Drugs,82167,
Mad Max,3702,
GoldenEye,10,
Kingdom of Heaven,33162,
Crank,47200,
Pineapple Express,61024,
A Christmas Carol,72294,
The Lovely Bones,72731,
Jurassic World,117529,4.5
Blended,111617,
Disturbia,52458,
The Amazing Spider-Man,95510,
Man of Steel,103042,4
Robin Hood: Prince of Thieves,1027,
A Knight's Tale,4299,
The Amazing Spider-Man 2,110553,4
Tremors,6659,
Mr. & Mrs. Smith,33679,
Ice Age: The Meltdown,44022,
The Da Vinci Code,45447,4.5
Flight,97923,
Horrible Bosses,87869,
Ice Age: Dawn of the Dinosaurs,69644,4.5
The Cabin in the Woods,93840,
Friends with Benefits,88405,
Hellboy,7373,
Rio,86298,
Angels & Demons,68554,
Mission: Impossible III,45186,
Ocean's Thirteen,53322,
Blade,2167,
Dumb and Dumber,231,
Paul,84772,
The Island,34319,
Cloudy with a Chance of Meatballs,71264,4.5
Bad Boys,145,
Tropic Thunder,61132,
Bridesmaids,86833,
The Adjustment Bureau,84954,
There's Something About Mary,1923,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,48385,
The Heat,103372,
Project X,93270,
Hellboy II: The Golden Army,57640,
21,58803,
Bridget Jones's Diary,4246,
Penguins of Madagascar,117851,
Public Enemies,69640,
1408,53953,
Space Jam,673,
Con Air,1552,
Panic Room,5266,
Unknown,84601,
Hanna,86190,
Burn After Reading,61323,
28 Weeks Later,53000,
Chicken Run,3751,
Vanilla Sky,4975,
Money Monster,157200,
Step Brothers,60756,
The Princess Diaries,4700,4.5
Austin Powers: International Man of Mystery,1517,
The Tree of Life,86898,
Trance,101741,
The Ides of March,89804,
We Bought a Zoo,91653,
Body of Lies,62374,
Stoker,101088,
Pirates of the Caribbean: On Stranger Tides,86880,
Oblivion,101864,
X-Men: Apocalypse,122924,
Alice in Wonderland,74789,
Minions,135887,4.5
Star Wars: Episode II - Attack of the Clones,5378,5
Elysium,103253,
The Matrix Revolutions,6934,
Maze Runner: The Scorch Trials,117895,
Bruce Almighty,6373,
Warm Bodies,99007,
Wanted,60072,
Armageddon,1917,
American Pie,2706,3.5
Cloverfield,57368,
Ocean's Twelve,8984,4.5
Live Free or Die Hard,53972,
Resident Evil,5219,
National Treasure,8972,4.5
White House Down,103339,
Yes Man,64969,
Madagascar 3: Europe's Most Wanted,95105,
The Giver,113378,
Hitch,31685,
Ace Ventura: Pet Detective,344,
Signs,5502,
Joy,140928,
Underworld: Evolution,42738,
RED 2,103810,
The Polar Express,8965,
The Grey,91976,
Liar Liar,1485,
Mamma Mia!,60397,
Final Destination,3409,
Side Effects,100383,
Let's Be Cops,113453,
Forgetting Sarah Marshall,58998,
Epic,102720,
Rush Hour 2,4701,4.5
Elf,6936,
The Ugly Truth,70183,
Secret Window,7347,
Project Almanac,127096,
Cloudy with a Chance of Meatballs 2,105468,4.5
Rambo: First Blood Part II,2402,
The Imaginarium of Doctor Parnassus,69951,
Monster House,46948,
Burnt,142536,
Rio 2,110655,
The Man in the Iron Mask,1801,
The Number 23,51086,
Eagle Eye,62081,
The Mechanic,85020,3.5
Oculus,110591,
The Blair Witch Project,2710,
Silent Hill,45081,
Over the Hedge,45431,
Self/less,135518,
Run All Night,129937,
Machete,80219,
Unstoppable,81782,
The Mask of Zorro,2006,
13 Going on 30,7444,
The Beach,3285,
Black Mass,136018,
Saw II,39446,
Sin City: A Dame to Kill For,113573,
Safe House,92507,
The Witch,140267,
Just Go with It,85367,
Bad Boys II,6548,
The Chronicles of Riddick,8371,
The Chronicles of Narnia: Prince Caspian,59501,
Bolt,63859,
Kick-Ass 2,104241,
Warcraft,122890,4.5
This Is the End,102123,
Home Alone 2: Lost in New York,2953,4.5
TRON: Legacy,82461,
Night at the Museum,46972,4.5
Jack Reacher,99112,
X-Men: The Last Stand,45499,
The Wolverine,103772,
Star Wars: Episode I - The Phantom Menace,2628,4.5
Spectre,136020,4.5
Ted,95441,
Prometheus,94864,
Lucy,111360,4
Man on a Ledge,91978,
The Taking of Pelham 1 2 3,69306,
He's Just Not That Into You,66203,4
Drag Me to Hell,68952,
DodgeBall: A True Underdog Story,8528,
Goosebumps,144620,
Austin Powers: The Spy Who Shagged Me,2683,
Transporter 2,36519,
The Village,8783,
Vacation,136598,
Knocked Up,52973,
Contagion,89470,
How the Grinch Stole Christmas,3988,
Robin Hood,77866,
Underworld: Rise of the Lycans,65682,
The Other Woman,110771,
The Chronicles of Narnia: The Voyage of the Dawn Treader,82169,
Blade II,5254,
The Shallows,158528,
The Mortal Instruments: City of Bones,104312,
Alien³,1320,
Central Intelligence,160271,
Due Date,81537,
Gangster Squad,99728,
Madagascar: Escape 2 Africa,62999,
The 40 Year Old Virgin,35836,
2 Fast 2 Furious,6383,
Riddick,104243,
Salt,79293,
Prince of Persia: The Sands of Time,78105,
War of the Worlds,34048,
Dracula Untold,114795,
The Day After Tomorrow,8361,5
Ted 2,135861,
The Lost World: Jurassic Park,1544,
Ice Age: Continental Drift,95543,4.5
Neighbors,111113,
Tomorrowland,132046,
Hancock,60074,3.5
Olympus Has Fallen,101362,
The Hangover Part II,86911,
Insurgent,130490,
X-Men Origins: Wolverine,68319,
Men in Black 3,94777,4.5
Big Daddy,2694,
Legally Blonde,4447,
"Me, Myself & Irene",3752,
Swordfish,4344,
Twister,736,
Miss Congeniality,4025,
27 Dresses,56949,
What Women Want,4018,
High School Musical,46062,4.5
That Awkward Moment,109483,
Magic Mike,95449,
Saw III,48877,
Turbo,103755,
Ace Ventura: When Nature Calls,19,
Resident Evil: Apocalypse,8861,
Resident Evil: Extinction,55232,
The Purge: Election Year,160565,
No Strings Attached,84374,
Zoolander,4816,
17 Again,68135,4.5
Meet the Fockers,30825,
The Other Guys,79592,
Gone in Sixty Seconds,3717,
Mars Attacks!,1391,
Need for Speed,109850,
Horrible Bosses 2,117590,
Pain & Gain,102033,
American Reunion,93831,
The Internship,102481,
